genome.genome_id	genome.genome_name	genome.antimicrobial_resistance	genome.antimicrobial_resistance_evidence
573.22376	Klebsiella pneumoniae strain CRK0131	Resistant::Susceptible	Computational Prediction
573.22377	Klebsiella pneumoniae strain CRK0191	Resistant::Susceptible	Computational Prediction
573.22378	Klebsiella pneumoniae strain CRK0139	Susceptible::Resistant	Computational Prediction
573.22379	Klebsiella pneumoniae strain CRK0136	Resistant::Susceptible	Computational Prediction
573.22381	Klebsiella pneumoniae strain CRK0156	Resistant::Susceptible	Computational Prediction
573.22382	Klebsiella pneumoniae strain CRK0137	Resistant::Susceptible	Computational Prediction
573.22383	Klebsiella pneumoniae strain CRK0154	Resistant::Susceptible	Computational Prediction
573.22384	Klebsiella pneumoniae strain CRK0152	Resistant::Susceptible	Computational Prediction
573.22385	Klebsiella pneumoniae strain CRK0145	Resistant::Susceptible	Computational Prediction
573.22386	Klebsiella pneumoniae strain CRK0148	Resistant	Computational Prediction
573.22387	Klebsiella pneumoniae strain CRK0153	Resistant::Susceptible	Computational Prediction
573.22388	Klebsiella pneumoniae strain CRK0146	Resistant::Susceptible	Computational Prediction
573.22389	Klebsiella pneumoniae strain CRK0186	Resistant::Susceptible	Computational Prediction
573.2239	Klebsiella pneumoniae strain U41		
573.22390	Klebsiella pneumoniae strain CRK0157	Resistant::Susceptible	Computational Prediction
573.22391	Klebsiella pneumoniae strain CRK0188	Resistant::Susceptible	Computational Prediction
573.22392	Klebsiella pneumoniae strain CRK0187	Resistant::Susceptible	Computational Prediction
573.22393	Klebsiella pneumoniae strain CRK0134	Resistant::Susceptible	Computational Prediction
573.22394	Klebsiella pneumoniae strain CRK0185	Resistant::Susceptible	Computational Prediction
573.22395	Klebsiella pneumoniae strain CRK0133	Susceptible::Resistant	Computational Prediction
573.22396	Klebsiella pneumoniae strain CRK0190	Resistant::Susceptible	Computational Prediction
573.22397	Klebsiella pneumoniae strain CRK0189	Resistant::Susceptible	Computational Prediction
573.22398	Klebsiella pneumoniae strain CRK0142	Resistant::Susceptible	Computational Prediction
573.22399	Klebsiella pneumoniae strain CRK0138	Resistant::Susceptible	Computational Prediction
573.2240	Klebsiella pneumoniae strain UCD-JA29		
573.22400	Klebsiella pneumoniae strain CRK0141	Resistant::Susceptible	Computational Prediction
573.22401	Klebsiella pneumoniae strain CRK0144	Resistant::Susceptible	Computational Prediction
573.22402	Klebsiella pneumoniae strain CRK0140	Resistant::Susceptible	Computational Prediction
