genome.genome_id	genome_drug.genome_id	genome_drug.antibiotic	genome_drug.resistant_phenotype
1087441.3	1087441.3	ceftazidime	
1087441.3	1087441.3	cefepime	
1087441.3	1087441.3	cefotaxime	
1087441.3	1087441.3	levofloxacin	
1087441.3	1087441.3	ciprofloxacin	
1087441.3	1087441.3	rifampin	
1087441.3	1087441.3	colistin	
1087441.3	1087441.3	polymyxin B	
1087441.3	1087441.3	trimethoprim/sulfamethoxazole	
1087443.3	1087443.3	amoxicillin/clavulanic acid	
1087443.3	1087443.3	amikacin	
1087443.3	1087443.3	ampicillin	
1087443.3	1087443.3	aztreonam	
1087443.3	1087443.3	ceftazidime	
1087443.3	1087443.3	cefazolin	
1087443.3	1087443.3	chloramphenicol	
1087443.3	1087443.3	ciprofloxacin	
1087443.3	1087443.3	ceftriaxone	
1087443.3	1087443.3	colistin	
1087443.3	1087443.3	cefotaxime	
1087443.3	1087443.3	cefotaxime/clavulanic acid	
1087443.3	1087443.3	cefuroxime	
1087443.3	1087443.3	doripenem	
1087443.3	1087443.3	ertapenem	
1087443.3	1087443.3	cefepime	
1087443.3	1087443.3	fosfomycin	
1087443.3	1087443.3	cefoxitin	
1087443.3	1087443.3	gentamicin	
1087443.3	1087443.3	imipenem	
1087443.3	1087443.3	levofloxacin	
1087443.3	1087443.3	meropenem	
1087443.3	1087443.3	minocycline	
1087443.3	1087443.3	nitrofurantoin	
1087443.3	1087443.3	ampicillin/sulbactam	
1087443.3	1087443.3	tetracycline	
1087443.3	1087443.3	tigecycline	
1087443.3	1087443.3	tobramycin	
1087443.3	1087443.3	piperacillin/tazobactam	
1087443.3	1087443.3	amoxicillin/clavulanic acid	
1087443.3	1087443.3	meropenem	
1087443.3	1087443.3	cefotaxime	
1087443.3	1087443.3	ampicillin	
1087443.3	1087443.3	ceftazidime	
1087443.3	1087443.3	trimethoprim/sulfamethoxazole	
1087443.3	1087443.3	rifampin	
1087443.3	1087443.3	gentamicin	
